message_id,date,emoji,reaction_type,count
750,2022-02-28T17:20:08,❤,emoji,53
750,2022-02-28T17:20:08,😢,emoji,8
750,2022-02-28T17:20:08,🙏,emoji,4
750,2022-02-28T17:20:08,👍,emoji,2
751,2022-02-28T18:14:09,❤,emoji,100
751,2022-02-28T18:14:09,😢,emoji,9
751,2022-02-28T18:14:09,🙏,emoji,5
751,2022-02-28T18:14:09,👍,emoji,3
754,2022-02-28T20:57:48,❤,emoji,50
754,2022-02-28T20:57:48,😢,emoji,17
754,2022-02-28T20:57:48,👍,emoji,9
754,2022-02-28T20:57:48,🙏,emoji,2
755,2022-02-28T23:39:05,❤,emoji,36
755,2022-02-28T23:39:05,😢,emoji,8
755,2022-02-28T23:39:05,👍,emoji,6
755,2022-02-28T23:39:05,🙏,emoji,1
756,2022-03-01T10:29:28,❤,emoji,30
756,2022-03-01T10:29:28,😢,emoji,6
756,2022-03-01T10:29:28,👍,emoji,4
756,2022-03-01T10:29:28,🙏,emoji,3
757,2022-03-01T12:27:00,❤,emoji,41
757,2022-03-01T12:27:00,👍,emoji,4
757,2022-03-01T12:27:00,😢,emoji,4
757,2022-03-01T12:27:00,🙏,emoji,1
758,2022-03-01T13:41:44,❤,emoji,31
758,2022-03-01T13:41:44,😢,emoji,6
758,2022-03-01T13:41:44,🙏,emoji,2
758,2022-03-01T13:41:44,👍,emoji,1
759,2022-03-01T15:35:11,❤,emoji,35
759,2022-03-01T15:35:11,😢,emoji,3
759,2022-03-01T15:35:11,🙏,emoji,3
759,2022-03-01T15:35:11,👍,emoji,2
760,2022-03-01T18:02:21,❤,emoji,26
760,2022-03-01T18:02:21,😢,emoji,4
760,2022-03-01T18:02:21,🙏,emoji,4
761,2022-03-01T20:36:16,❤,emoji,30
761,2022-03-01T20:36:16,👍,emoji,5
761,2022-03-01T20:36:16,😢,emoji,3
761,2022-03-01T20:36:16,🙏,emoji,1
762,2022-03-02T09:14:52,❤,emoji,32
762,2022-03-02T09:14:52,🙏,emoji,3
762,2022-03-02T09:14:52,😢,emoji,2
762,2022-03-02T09:14:52,👍,emoji,1
763,2022-03-02T11:30:11,❤,emoji,28
763,2022-03-02T11:30:11,🙏,emoji,4
763,2022-03-02T11:30:11,😢,emoji,2
764,2022-03-02T14:52:38,❤,emoji,82
764,2022-03-02T14:52:38,👍,emoji,13
764,2022-03-02T14:52:38,🙏,emoji,10
764,2022-03-02T14:52:38,😢,emoji,4
765,2022-03-03T00:49:23,❤,emoji,36
765,2022-03-03T00:49:23,👍,emoji,4
765,2022-03-03T00:49:23,🙏,emoji,3
765,2022-03-03T00:49:23,😢,emoji,2
766,2022-03-03T09:54:19,❤,emoji,29
766,2022-03-03T09:54:19,😢,emoji,3
766,2022-03-03T09:54:19,👍,emoji,2
766,2022-03-03T09:54:19,🙏,emoji,1
767,2022-03-03T10:55:52,❤,emoji,34
767,2022-03-03T10:55:52,👍,emoji,2
767,2022-03-03T10:55:52,😢,emoji,2
767,2022-03-03T10:55:52,🙏,emoji,1
768,2022-03-03T13:36:43,❤,emoji,28
768,2022-03-03T13:36:43,😢,emoji,2
768,2022-03-03T13:36:43,👍,emoji,1
768,2022-03-03T13:36:43,🙏,emoji,1
769,2022-03-04T03:14:45,❤,emoji,28
769,2022-03-04T03:14:45,😢,emoji,10
769,2022-03-04T03:14:45,👍,emoji,4
769,2022-03-04T03:14:45,🙏,emoji,1
770,2022-03-04T03:47:07,❤,emoji,34
770,2022-03-04T03:47:07,😢,emoji,9
770,2022-03-04T03:47:07,🙏,emoji,5
770,2022-03-04T03:47:07,👍,emoji,3
771,2022-03-04T09:00:58,❤,emoji,30
771,2022-03-04T09:00:58,😢,emoji,4
771,2022-03-04T09:00:58,🙏,emoji,2
772,2022-03-04T10:56:55,❤,emoji,32
772,2022-03-04T10:56:55,😢,emoji,8
772,2022-03-04T10:56:55,👍,emoji,2
772,2022-03-04T10:56:55,🙏,emoji,2
773,2022-03-04T21:00:32,❤,emoji,28
773,2022-03-04T21:00:32,👍,emoji,2
773,2022-03-04T21:00:32,😢,emoji,2
773,2022-03-04T21:00:32,🙏,emoji,1
774,2022-03-04T22:45:23,❤,emoji,28
774,2022-03-04T22:45:23,👍,emoji,2
774,2022-03-04T22:45:23,😢,emoji,2
774,2022-03-04T22:45:23,🙏,emoji,1
776,2022-03-05T00:32:29,❤,emoji,32
776,2022-03-05T00:32:29,🙏,emoji,3
776,2022-03-05T00:32:29,😢,emoji,2
776,2022-03-05T00:32:29,👍,emoji,1
777,2022-03-05T11:12:41,❤,emoji,29
777,2022-03-05T11:12:41,👍,emoji,4
777,2022-03-05T11:12:41,😢,emoji,4
777,2022-03-05T11:12:41,🙏,emoji,2
778,2022-03-05T14:31:45,❤,emoji,27
778,2022-03-05T14:31:45,👍,emoji,3
778,2022-03-05T14:31:45,😢,emoji,2
778,2022-03-05T14:31:45,🙏,emoji,1
779,2022-03-05T21:29:30,❤,emoji,28
779,2022-03-05T21:29:30,😢,emoji,2
779,2022-03-05T21:29:30,🙏,emoji,2
779,2022-03-05T21:29:30,👍,emoji,1
780,2022-03-05T22:49:00,❤,emoji,25
780,2022-03-05T22:49:00,😢,emoji,2
780,2022-03-05T22:49:00,🙏,emoji,1
781,2022-03-06T12:08:13,❤,emoji,24
781,2022-03-06T12:08:13,😢,emoji,2
781,2022-03-06T12:08:13,👍,emoji,1
781,2022-03-06T12:08:13,🙏,emoji,1
782,2022-03-06T13:24:27,❤,emoji,25
782,2022-03-06T13:24:27,😢,emoji,2
782,2022-03-06T13:24:27,👍,emoji,1
782,2022-03-06T13:24:27,🙏,emoji,1
783,2022-03-06T14:24:52,❤,emoji,28
783,2022-03-06T14:24:52,😢,emoji,7
783,2022-03-06T14:24:52,🙏,emoji,3
783,2022-03-06T14:24:52,👍,emoji,2
784,2022-03-06T16:00:40,❤,emoji,26
784,2022-03-06T16:00:40,😢,emoji,3
784,2022-03-06T16:00:40,👍,emoji,2
784,2022-03-06T16:00:40,🙏,emoji,1
785,2022-03-06T22:42:37,❤,emoji,29
785,2022-03-06T22:42:37,😢,emoji,3
785,2022-03-06T22:42:37,👍,emoji,2
785,2022-03-06T22:42:37,🙏,emoji,1
786,2022-03-07T00:13:18,❤,emoji,25
786,2022-03-07T00:13:18,😢,emoji,2
786,2022-03-07T00:13:18,🙏,emoji,2
786,2022-03-07T00:13:18,👍,emoji,1
787,2022-03-07T11:30:50,❤,emoji,31
787,2022-03-07T11:30:50,🙏,emoji,3
787,2022-03-07T11:30:50,👍,emoji,2
787,2022-03-07T11:30:50,😢,emoji,2
788,2022-03-07T14:40:16,❤,emoji,29
788,2022-03-07T14:40:16,😢,emoji,2
788,2022-03-07T14:40:16,👍,emoji,1
788,2022-03-07T14:40:16,🙏,emoji,1
789,2022-03-07T23:08:55,❤,emoji,49
789,2022-03-07T23:08:55,😢,emoji,3
789,2022-03-07T23:08:55,👍,emoji,2
789,2022-03-07T23:08:55,🙏,emoji,1
790,2022-03-08T01:15:36,❤,emoji,30
790,2022-03-08T01:15:36,😢,emoji,2
790,2022-03-08T01:15:36,🙏,emoji,2
790,2022-03-08T01:15:36,👍,emoji,1
791,2022-03-08T11:38:58,❤,emoji,25
791,2022-03-08T11:38:58,🙏,emoji,3
791,2022-03-08T11:38:58,😢,emoji,2
791,2022-03-08T11:38:58,👍,emoji,1
792,2022-03-08T14:08:08,❤,emoji,21
792,2022-03-08T14:08:08,👍,emoji,5
792,2022-03-08T14:08:08,😢,emoji,2
792,2022-03-08T14:08:08,🙏,emoji,2
793,2022-03-08T23:35:42,❤,emoji,25
793,2022-03-08T23:35:42,🙏,emoji,3
793,2022-03-08T23:35:42,😢,emoji,2
793,2022-03-08T23:35:42,👍,emoji,1
794,2022-03-09T09:06:34,❤,emoji,21
794,2022-03-09T09:06:34,🙏,emoji,5
794,2022-03-09T09:06:34,😢,emoji,2
795,2022-03-09T12:19:25,❤,emoji,28
795,2022-03-09T12:19:25,😢,emoji,2
795,2022-03-09T12:19:25,👍,emoji,1
795,2022-03-09T12:19:25,🙏,emoji,1
796,2022-03-09T14:47:31,❤,emoji,23
796,2022-03-09T14:47:31,👍,emoji,2
796,2022-03-09T14:47:31,😢,emoji,2
796,2022-03-09T14:47:31,🙏,emoji,1
797,2022-03-09T17:22:55,😢,emoji,42
797,2022-03-09T17:22:55,❤,emoji,3
797,2022-03-09T17:22:55,👍,emoji,2
797,2022-03-09T17:22:55,🙏,emoji,1
798,2022-03-09T23:32:43,❤,emoji,29
798,2022-03-09T23:32:43,😢,emoji,5
798,2022-03-09T23:32:43,👍,emoji,1
798,2022-03-09T23:32:43,🙏,emoji,1
799,2022-03-10T01:14:08,❤,emoji,21
799,2022-03-10T01:14:08,😢,emoji,3
799,2022-03-10T01:14:08,🙏,emoji,1
800,2022-03-10T13:44:04,❤,emoji,23
800,2022-03-10T13:44:04,👍,emoji,2
800,2022-03-10T13:44:04,😢,emoji,2
800,2022-03-10T13:44:04,🙏,emoji,1
801,2022-03-10T15:49:45,❤,emoji,15
801,2022-03-10T15:49:45,😢,emoji,2
801,2022-03-10T15:49:45,🙏,emoji,2
801,2022-03-10T15:49:45,👍,emoji,1
802,2022-03-11T00:04:15,❤,emoji,44
802,2022-03-11T00:04:15,😢,emoji,7
802,2022-03-11T00:04:15,👍,emoji,4
802,2022-03-11T00:04:15,🙏,emoji,2
803,2022-03-11T01:42:41,❤,emoji,20
803,2022-03-11T01:42:41,😢,emoji,2
803,2022-03-11T01:42:41,👍,emoji,1
803,2022-03-11T01:42:41,🙏,emoji,1
804,2022-03-11T14:02:36,❤,emoji,22
804,2022-03-11T14:02:36,😢,emoji,2
804,2022-03-11T14:02:36,👍,emoji,1
804,2022-03-11T14:02:36,🙏,emoji,1
805,2022-03-11T16:17:59,❤,emoji,20
805,2022-03-11T16:17:59,😢,emoji,2
805,2022-03-11T16:17:59,🙏,emoji,1
806,2022-03-11T19:07:13,❤,emoji,23
806,2022-03-11T19:07:13,😢,emoji,3
806,2022-03-11T19:07:13,👍,emoji,2
806,2022-03-11T19:07:13,🙏,emoji,1
807,2022-03-12T00:43:27,❤,emoji,21
807,2022-03-12T00:43:27,😢,emoji,2
807,2022-03-12T00:43:27,👍,emoji,1
807,2022-03-12T00:43:27,🙏,emoji,1
808,2022-03-12T01:38:05,❤,emoji,18
808,2022-03-12T01:38:05,😢,emoji,2
808,2022-03-12T01:38:05,🙏,emoji,1
809,2022-03-12T13:26:23,❤,emoji,14
809,2022-03-12T13:26:23,👍,emoji,2
809,2022-03-12T13:26:23,😢,emoji,2
809,2022-03-12T13:26:23,🙏,emoji,1
810,2022-03-12T14:56:01,❤,emoji,16
810,2022-03-12T14:56:01,😢,emoji,2
810,2022-03-12T14:56:01,👍,emoji,1
810,2022-03-12T14:56:01,🙏,emoji,1
811,2022-03-12T16:22:52,❤,emoji,23
811,2022-03-12T16:22:52,😢,emoji,2
811,2022-03-12T16:22:52,🙏,emoji,1
812,2022-03-12T19:09:04,❤,emoji,21
812,2022-03-12T19:09:04,😢,emoji,2
812,2022-03-12T19:09:04,🙏,emoji,1
813,2022-03-13T00:35:56,❤,emoji,17
813,2022-03-13T00:35:56,😢,emoji,2
813,2022-03-13T00:35:56,👍,emoji,1
813,2022-03-13T00:35:56,🙏,emoji,1
814,2022-03-13T02:22:21,❤,emoji,17
814,2022-03-13T02:22:21,😢,emoji,2
814,2022-03-13T02:22:21,🙏,emoji,1
815,2022-03-13T13:36:26,❤,emoji,21
815,2022-03-13T13:36:26,😢,emoji,3
815,2022-03-13T13:36:26,👍,emoji,2
815,2022-03-13T13:36:26,🙏,emoji,1
816,2022-03-13T14:12:48,❤,emoji,31
816,2022-03-13T14:12:48,😢,emoji,3
816,2022-03-13T14:12:48,🙏,emoji,1
817,2022-03-13T16:57:39,❤,emoji,21
817,2022-03-13T16:57:39,👍,emoji,4
817,2022-03-13T16:57:39,😢,emoji,4
817,2022-03-13T16:57:39,🙏,emoji,1
818,2022-03-14T00:08:46,❤,emoji,20
818,2022-03-14T00:08:46,😢,emoji,3
818,2022-03-14T00:08:46,👍,emoji,2
818,2022-03-14T00:08:46,🙏,emoji,1
819,2022-03-14T01:35:13,❤,emoji,18
819,2022-03-14T01:35:13,😢,emoji,2
819,2022-03-14T01:35:13,👍,emoji,1
819,2022-03-14T01:35:13,🙏,emoji,1
820,2022-03-14T14:14:02,❤,emoji,16
820,2022-03-14T14:14:02,👍,emoji,3
820,2022-03-14T14:14:02,😢,emoji,3
820,2022-03-14T14:14:02,🙏,emoji,1
821,2022-03-15T01:17:16,❤,emoji,16
821,2022-03-15T01:17:16,😢,emoji,3
821,2022-03-15T01:17:16,👍,emoji,2
821,2022-03-15T01:17:16,🙏,emoji,1
822,2022-03-15T02:36:27,❤,emoji,16
822,2022-03-15T02:36:27,😢,emoji,2
822,2022-03-15T02:36:27,👍,emoji,1
822,2022-03-15T02:36:27,🙏,emoji,1
823,2022-03-15T14:33:08,❤,emoji,13
823,2022-03-15T14:33:08,😢,emoji,2
823,2022-03-15T14:33:08,🙏,emoji,2
824,2022-03-15T16:24:13,❤,emoji,16
824,2022-03-15T16:24:13,😢,emoji,2
824,2022-03-15T16:24:13,👍,emoji,1
824,2022-03-15T16:24:13,🙏,emoji,1
825,2022-03-15T19:00:35,❤,emoji,19
825,2022-03-15T19:00:35,😢,emoji,2
825,2022-03-15T19:00:35,👍,emoji,1
825,2022-03-15T19:00:35,🙏,emoji,1
826,2022-03-15T19:26:57,❤,emoji,12
826,2022-03-15T19:26:57,😢,emoji,2
826,2022-03-15T19:26:57,👍,emoji,1
826,2022-03-15T19:26:57,🙏,emoji,1
827,2022-03-15T20:14:46,❤,emoji,13
827,2022-03-15T20:14:46,😢,emoji,3
827,2022-03-15T20:14:46,🙏,emoji,1
828,2022-03-15T22:35:45,❤,emoji,18
828,2022-03-15T22:35:45,👍,emoji,4
828,2022-03-15T22:35:45,😢,emoji,2
828,2022-03-15T22:35:45,🙏,emoji,1
829,2022-03-15T23:00:55,❤,emoji,15
829,2022-03-15T23:00:55,😢,emoji,2
829,2022-03-15T23:00:55,👍,emoji,1
829,2022-03-15T23:00:55,🙏,emoji,1
830,2022-03-16T01:19:06,❤,emoji,20
830,2022-03-16T01:19:06,👍,emoji,2
830,2022-03-16T01:19:06,😢,emoji,2
830,2022-03-16T01:19:06,🙏,emoji,1
831,2022-03-16T04:07:22,❤,emoji,16
831,2022-03-16T04:07:22,😢,emoji,2
831,2022-03-16T04:07:22,🙏,emoji,1
832,2022-03-16T12:58:05,❤,emoji,30
832,2022-03-16T12:58:05,😢,emoji,3
832,2022-03-16T12:58:05,👍,emoji,1
832,2022-03-16T12:58:05,🙏,emoji,1
833,2022-03-16T13:07:18,❤,emoji,18
833,2022-03-16T13:07:18,😢,emoji,2
833,2022-03-16T13:07:18,🙏,emoji,1
834,2022-03-16T14:23:22,❤,emoji,18
834,2022-03-16T14:23:22,👍,emoji,2
834,2022-03-16T14:23:22,😢,emoji,2
834,2022-03-16T14:23:22,🙏,emoji,2
835,2022-03-16T16:59:27,❤,emoji,17
835,2022-03-16T16:59:27,😢,emoji,3
835,2022-03-16T16:59:27,🙏,emoji,1
836,2022-03-16T17:46:17,❤,emoji,16
836,2022-03-16T17:46:17,😢,emoji,11
836,2022-03-16T17:46:17,👍,emoji,1
836,2022-03-16T17:46:17,🙏,emoji,1
837,2022-03-16T19:16:40,❤,emoji,13
837,2022-03-16T19:16:40,😢,emoji,3
837,2022-03-16T19:16:40,🙏,emoji,1
838,2022-03-16T19:23:23,❤,emoji,18
838,2022-03-16T19:23:23,😢,emoji,6
838,2022-03-16T19:23:23,👍,emoji,4
838,2022-03-16T19:23:23,🙏,emoji,1
845,2022-03-16T22:12:43,❤,emoji,16
845,2022-03-16T22:12:43,😢,emoji,3
845,2022-03-16T22:12:43,🙏,emoji,1
846,2022-03-17T00:43:32,❤,emoji,16
846,2022-03-17T00:43:32,😢,emoji,4
846,2022-03-17T00:43:32,🙏,emoji,1
847,2022-03-17T02:49:39,❤,emoji,13
847,2022-03-17T02:49:39,😢,emoji,5
847,2022-03-17T02:49:39,🙏,emoji,1
848,2022-03-17T11:55:09,❤,emoji,13
848,2022-03-17T11:55:09,😢,emoji,4
848,2022-03-17T11:55:09,👍,emoji,1
848,2022-03-17T11:55:09,🙏,emoji,1
849,2022-03-17T12:36:53,❤,emoji,21
849,2022-03-17T12:36:53,👍,emoji,2
849,2022-03-17T12:36:53,😢,emoji,2
849,2022-03-17T12:36:53,🙏,emoji,1
857,2022-03-17T14:11:17,❤,emoji,13
857,2022-03-17T14:11:17,😢,emoji,2
857,2022-03-17T14:11:17,👍,emoji,1
857,2022-03-17T14:11:17,🙏,emoji,1
858,2022-03-17T17:01:36,❤,emoji,19
858,2022-03-17T17:01:36,😢,emoji,2
858,2022-03-17T17:01:36,🙏,emoji,1
859,2022-03-17T17:37:18,❤,emoji,16
859,2022-03-17T17:37:18,😢,emoji,2
859,2022-03-17T17:37:18,🙏,emoji,1
860,2022-03-18T00:22:49,❤,emoji,20
860,2022-03-18T00:22:49,😢,emoji,2
860,2022-03-18T00:22:49,🙏,emoji,1
861,2022-03-18T02:23:06,❤,emoji,14
861,2022-03-18T02:23:06,😢,emoji,2
861,2022-03-18T02:23:06,🙏,emoji,1
862,2022-03-18T12:45:01,❤,emoji,13
862,2022-03-18T12:45:01,😢,emoji,3
862,2022-03-18T12:45:01,🙏,emoji,2
872,2022-03-18T15:22:30,❤,emoji,14
872,2022-03-18T15:22:30,😢,emoji,3
872,2022-03-18T15:22:30,🙏,emoji,1
873,2022-03-18T17:32:16,❤,emoji,11
873,2022-03-18T17:32:16,😢,emoji,2
873,2022-03-18T17:32:16,🙏,emoji,1
874,2022-03-19T00:45:22,❤,emoji,15
874,2022-03-19T00:45:22,😢,emoji,4
874,2022-03-19T00:45:22,🙏,emoji,1
875,2022-03-19T03:08:21,❤,emoji,14
875,2022-03-19T03:08:21,😢,emoji,3
875,2022-03-19T03:08:21,🙏,emoji,1
876,2022-03-19T15:41:52,❤,emoji,12
876,2022-03-19T15:41:52,😢,emoji,2
876,2022-03-19T15:41:52,🙏,emoji,1
877,2022-03-19T16:21:25,❤,emoji,13
877,2022-03-19T16:21:25,👍,emoji,2
877,2022-03-19T16:21:25,😢,emoji,2
877,2022-03-19T16:21:25,🙏,emoji,2
887,2022-03-19T18:19:43,❤,emoji,13
887,2022-03-19T18:19:43,😢,emoji,2
887,2022-03-19T18:19:43,👍,emoji,1
887,2022-03-19T18:19:43,🙏,emoji,1
888,2022-03-19T19:52:47,❤,emoji,12
888,2022-03-19T19:52:47,😢,emoji,2
888,2022-03-19T19:52:47,👍,emoji,1
888,2022-03-19T19:52:47,🙏,emoji,1
889,2022-03-20T02:26:03,❤,emoji,13
889,2022-03-20T02:26:03,😢,emoji,2
889,2022-03-20T02:26:03,🙏,emoji,1
890,2022-03-20T11:27:23,❤,emoji,12
890,2022-03-20T11:27:23,😢,emoji,2
890,2022-03-20T11:27:23,🙏,emoji,1
891,2022-03-20T14:56:18,❤,emoji,13
891,2022-03-20T14:56:18,👍,emoji,3
891,2022-03-20T14:56:18,😢,emoji,3
891,2022-03-20T14:56:18,🙏,emoji,1
899,2022-03-20T16:56:10,❤,emoji,16
899,2022-03-20T16:56:10,😢,emoji,4
899,2022-03-20T16:56:10,👍,emoji,1
899,2022-03-20T16:56:10,🙏,emoji,1
900,2022-03-20T18:15:00,❤,emoji,13
900,2022-03-20T18:15:00,👍,emoji,3
900,2022-03-20T18:15:00,😢,emoji,2
900,2022-03-20T18:15:00,🙏,emoji,1
903,2022-03-20T18:38:56,❤,emoji,14
903,2022-03-20T18:38:56,😢,emoji,2
903,2022-03-20T18:38:56,🙏,emoji,1
904,2022-03-20T19:37:50,❤,emoji,14
904,2022-03-20T19:37:50,😢,emoji,2
904,2022-03-20T19:37:50,👍,emoji,1
904,2022-03-20T19:37:50,🙏,emoji,1
905,2022-03-20T21:56:09,❤,emoji,15
905,2022-03-20T21:56:09,👍,emoji,3
905,2022-03-20T21:56:09,😢,emoji,2
905,2022-03-20T21:56:09,🙏,emoji,1
906,2022-03-21T00:26:14,❤,emoji,13
906,2022-03-21T00:26:14,😢,emoji,2
906,2022-03-21T00:26:14,🙏,emoji,1
907,2022-03-21T01:52:07,❤,emoji,14
907,2022-03-21T01:52:07,😢,emoji,2
907,2022-03-21T01:52:07,🙏,emoji,1
908,2022-03-21T10:42:28,❤,emoji,19
908,2022-03-21T10:42:28,😢,emoji,2
908,2022-03-21T10:42:28,👍,emoji,1
908,2022-03-21T10:42:28,🙏,emoji,1
909,2022-03-21T16:36:45,❤,emoji,13
909,2022-03-21T16:36:45,👍,emoji,3
909,2022-03-21T16:36:45,😢,emoji,2
909,2022-03-21T16:36:45,🙏,emoji,1
918,2022-03-21T20:51:58,❤,emoji,14
918,2022-03-21T20:51:58,😢,emoji,3
918,2022-03-21T20:51:58,🙏,emoji,1
919,2022-03-21T22:21:06,❤,emoji,14
919,2022-03-21T22:21:06,😢,emoji,2
919,2022-03-21T22:21:06,🙏,emoji,1
920,2022-03-21T23:52:46,❤,emoji,17
920,2022-03-21T23:52:46,😢,emoji,2
920,2022-03-21T23:52:46,🙏,emoji,1
921,2022-03-22T01:56:39,❤,emoji,13
921,2022-03-22T01:56:39,😢,emoji,2
921,2022-03-22T01:56:39,🙏,emoji,1
922,2022-03-22T02:17:22,❤,emoji,12
922,2022-03-22T02:17:22,😢,emoji,3
922,2022-03-22T02:17:22,👍,emoji,1
922,2022-03-22T02:17:22,🙏,emoji,1
923,2022-03-22T13:27:10,❤,emoji,13
923,2022-03-22T13:27:10,😢,emoji,2
923,2022-03-22T13:27:10,🙏,emoji,1
924,2022-03-22T14:39:55,❤,emoji,13
924,2022-03-22T14:39:55,😢,emoji,3
924,2022-03-22T14:39:55,🙏,emoji,1
925,2022-03-22T16:06:06,😢,emoji,16
925,2022-03-22T16:06:06,❤,emoji,2
925,2022-03-22T16:06:06,🙏,emoji,1
933,2022-03-22T23:46:01,😢,emoji,17
933,2022-03-22T23:46:01,❤,emoji,13
933,2022-03-22T23:46:01,👍,emoji,7
933,2022-03-22T23:46:01,🙏,emoji,1
934,2022-03-23T01:40:42,❤,emoji,11
934,2022-03-23T01:40:42,😢,emoji,2
934,2022-03-23T01:40:42,🙏,emoji,1
935,2022-03-23T12:34:02,❤,emoji,15
935,2022-03-23T12:34:02,👍,emoji,3
935,2022-03-23T12:34:02,😢,emoji,2
935,2022-03-23T12:34:02,🙏,emoji,1
936,2022-03-23T14:22:11,❤,emoji,13
936,2022-03-23T14:22:11,😢,emoji,2
936,2022-03-23T14:22:11,🙏,emoji,1
937,2022-03-23T17:37:42,❤,emoji,17
937,2022-03-23T17:37:42,👍,emoji,5
937,2022-03-23T17:37:42,😢,emoji,2
937,2022-03-23T17:37:42,🙏,emoji,1
